Month,Unemployment (%)
Jan-20,3.5
Feb-20,3.5
Mar-20,4.4
Apr-20,14.7
May-20,13.2
Jun-20,11.0
Jul-20,10.2
Aug-20,8.4
Sep-20,7.9
Oct-20,6.9
Nov-20,6.7
Dec-20,6.7
Jan-21,6.3
Feb-21,6.2
Mar-21,6.1
Apr-21,6.1
May-21,5.8
Jun-21,5.9
Jul-21,5.4
Aug-21,5.2
Sep-21,4.8
Oct-21,4.5
Nov-21,4.2
Dec-21,3.9
Jan-22,4.0
Feb-22,3.8
Mar-22,3.6
Apr-22,3.6
May-22,3.6
Jun-22,3.6
Jul-22,3.5
Aug-22,3.7
Sep-22,3.5
Oct-22,3.7
Nov-22,3.6
Dec-22,3.5
Jan-23,3.4
Feb-23,3.6
Mar-23,3.5
Apr-23,3.4
May-23,3.7
Jun-23,3.6
Jul-23,3.5
Aug-23,3.8
Sep-23,3.8
Oct-23,3.9
,
,
,
,
,
,
,
,
,